ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK-B
JPM
JNJ
V
PG
UNH
HD
MA
XOM
CVX
LLY
ABBV
MRK
PEP
COST
AVGO
TMO
MCD
ACN
BAC
WFC
DHR
NEE
TXN
UNP
PM
RTX
HON
LOW
UPS
SPGI
INTU
IBM
AMAT
QCOM
CAT
GS
BLK
DE
GE
AMGN
ISRG
ADI
